organization,interaction_intervention_id,org_intervention_id,project_tags,project_name,project_description,activities,additional_information,start_date,end_date,clusters,sectors,cross_cutting_issues,budget_numeric,international_partners,local_partners,prime_awardee,estimated_people_reached,target_groups,location,project_website,date_provided,date_updated,status,donors
GlobalGiving,GG-SL-14-10942,17671.0,ebola,"Strategic Responses to Tackle Ebola - Sierra Leone","West Africa is experiencing the largest Ebola outbreak in history. This project will help to stop the Ebola crisis through a set of strategic actions including providing critical resources (personal protective clothing, medical equipment and supplies etc), Ebola training / sensitization, health kits, emergency relief aid and other support activities. Our targeted response addresses key areas of need to provide essential support to health workers, medical facilities and vulnerable communities.<br><br> The health system in Sierra Leone has been overwhelmed by the extent of this Ebola epidemic.  Tragically, the death count continues to rise, including that of nurses and doctors. A wide range of resources are needed to tackle Ebola. This epidemic has disrupted life in many communities and cities. The implications and ripple effect of the crisis are being felt at multiple levels and causing untold suffering and hardship. Responding to this crisis requires a set of strategic and targeted actions.<br><br> This project will help to tackle Ebola through strategic, responsive and focused actions. Our targeted responses are directed towards 3 essential areas - crisis containment, community sustenance and disease elimination.  Project will provide critical support and resources including personal protective equipment and medical equipment and supplies, sensitization (through one-on-one, community outreach etc.), health supplies / kits and emergency food aid.<br><br> This virus could eliminate a significant percentage of the population of Sierra Leone and extend to other African and international countries. This could cripple nations.  People are living in fear and facing economic hardships.  Our joint, strategic intervention will result in thousands of lives being potentially saved from infection and death.  Project will help tackle Ebola and restore normalcy to the people of Sierra Leone - so that they can move on to rebuilding their lives and nation.","","",2014-07-28,2015-11-13,"","Health,Humanitarian aid,Non-food relief items (NFIs)","",28044.0,"Develop Africa, Inc.","","",,"","Sierra Leone>Western",http://globalgiving.org/17671,2014-12-17,2015-01-13,active,"Private donations"
GlobalGiving,GG-SL-14-10943,17787.0,ebola,"Help Us Stop the Ebola Crisis in Sierra Leone","Health officials say the Ebola outbreak, centered in West Africa, is the deadliest ever with over 1,093 infected and almost 500 of those from Sierra Leone.  Greatest Goal Ministries operates a free outpatient hospital in Lakka.  The military has set up Ebola isolation tents directly outside the doors of our hospital.  This project will provide the desperately needed supplies and protective clothing for health care workers as well as support information materials needed for the community.<br><br> The Ebola virus disease has been detected for the first time in West Africa.  Fruit bats are believed to be the natural hosts of the Ebola virus and then transmitted to people.  The virus is passed from person to person through direct contact with the bodily fluids of an infected person.  There is no vaccine and no specific treatment available.  It is 90% fatal. 458 confirmed cases have now been documented from all districts of Sierra Leone with 153 deaths reported.<br><br> The citizens of Sierra Leone need to understand that Ebola is a medical disease. They need to start understanding how this disease is spread and how to prevent further spread.  This can only be done in the community through media, leaflets and door to door sensitization programs.  This project will help provide funding for these community awareness programs.  Healthcare workers need to be protected from contracting the disease. This project will provide funds for personal protective equipment.<br><br> Sierra Leone has some of the poorest health indicators in the world and the least amount of resources to adequately protect healthcare workers.  For the capital of Sierra Leone, Freetown, this is an important time. Raising awareness of the risk factors for infection and protective measures that should be taken is the only way to stop this epidemic. If the outbreak is not contained, health officials are worried that it may spread to other countries in the region.","","",2014-07-30,2015-11-13,"","Health,Humanitarian aid,Non-food relief items (NFIs)","",31879.0,"Greatest Goal Ministries USA","","",,"","Sierra Leone>Western",http://globalgiving.org/17787,2014-12-17,2015-01-13,active,"Private donations"
"IntraHealth International",IHI-LR-15-13178,"","","mHero: Leveraging health information systems (HIS) and mobile phones to support frontline health workers amid the Ebola outbreak in West Africa","mHero is a dynamic, integrated open source health worker communication and coordination system that provides tools to help countries tackle the core communication gaps present in Ebola-affected communities. mHero provides a trusted channel of information and support for frontline health workers. mHero leverages country investments in the IntraHealth International-supported iHRIS software, the University of Oslo-supported DHIS2 health indicator reporting software, and the UNICEF-supported RapidPro mobile SMS platform. Through mHero’s multipartner collaborative approach and inherent interoperability with these and other critical technologies, national health leaders can use basic mobile phone technology to communicate and coordinate with the health workers and public health officials on the front lines of care. ","mHero has been selected as one of 15 innovations for USAID’s Fighting Ebola Grand Challenge. The comprehensive SMS-based mHero platform will extend and enhance existing national health information technologies to support health workers, leveraging prior country investments and infrastructure while building increased health system resilience beyond the Ebola epidemic.","",2015-06-09,2016-06-08,"",Health,"",700000.0,UNICEF,"Ministry of Health/Liberia; Ministry of Health/Guinea","IntraHealth International",,"","Guinea,Liberia","",2015-06-11,2015-06-12,active,"U.S. Agency for International Development (USAID)"
"International Medical Corps",IMC-GN-15-11384,"",ebola,"Emergency intervention to manage Ebola Virus Disease (EVD) cases in Guinea","Emergency intervention to manage Ebola Virus Disease (EVD) cases in Guinea","","",2015-02-01,2016-01-31,"","Health,Humanitarian aid","",,"","","",,"","Guinea>Beyla,Guinea>Boffa,Guinea>Boke,Guinea>Conakry,Guinea>Coyah,Guinea>Dabola,Guinea>Dalaba,Guinea>Dinguiraye,Guinea>Dubreka,Guinea>Faranah,Guinea>Forecariah,Guinea>Fria,Guinea>Gaoual,Guinea>Gueckedou,Guinea>Kankan,Guinea>Kerouane,Guinea>Kindia,Guinea>Kissidougou,Guinea>Koubia,Guinea>Koundara,Guinea>Kouroussa,Guinea>Labe,Guinea>Lelouma,Guinea>Lola,Guinea>Macenta,Guinea>Mali,Guinea>Mamou,Guinea>Mandiana,Guinea>Nzerekore,Guinea>Pita,Guinea>Siguiri,Guinea>Telimele,Guinea>Tougue,Guinea>Yomou","",2015-02-20,2015-02-20,active,""
"International Medical Corps",IMC-GN-15-13742,"",ebola,"Emergency Intervention to Manage Ebola Virsus Disease (EVD) Cases in Guinea","SRU construction and operation; Rapid Response Team operations","","",2015-02-01,2016-01-31,"","Health,Humanitarian aid","",,"","","",,"","Guinea>Boke,Guinea>Conakry,Guinea>Coyah,Guinea>Dubreka,Guinea>Kindia","",2015-06-17,2015-06-17,active,""
"International Medical Corps",IMC-GW-15-13743,"",ebola,"Ebola Virus Disease Preparedeness and Response in Guinea Bissau","Ebola Virus Disease Preparedeness and Response in Guinea Bissau","","",2015-04-01,2016-03-31,"","Health,Humanitarian aid","",,"","","",,"","Guinea-Bissau>Gabu,Guinea-Bissau>Tombali","",2015-06-17,2015-06-17,active,""
"International Medical Corps",IMC-LR-14-11378,"",ebola,"Ebola Rapid Response Initiative - Air and Land Support to RITE Strategy","Ebola Rapid Response Initiative - Air and Land Support to RITE Strategy","","",2014-11-24,2015-08-23,"","Health,Humanitarian aid","",,"","","",,"","Liberia>Bong,Liberia>Gbarpolu,Liberia>Grand Bassa,Liberia>Grand Cape Mount,Liberia>Grand Gedeh,Liberia>Grand Kru,Liberia>Lofa,Liberia>Margibi,Liberia>Maryland,Liberia>Montserrado,Liberia>Nimba,Liberia>River Cess,Liberia>River Gee,Liberia>Sinoe","",2015-02-20,2015-06-17,active,""
"International Medical Corps",IMC-SL-14-11379,"",ebola,"IMC Sierra Leone Ebola Outbreak","IMC Sierra Leone Ebola Outbreak","","",2014-11-01,2015-08-31,"","Health,Humanitarian aid","",,"","","",,"","Sierra Leone>Northern","",2015-02-20,2015-06-17,active,""
"International Medical Corps",IMC-SL-14-8702,"",ebola,"Emergency Intervention to Manage Ebola Virus Disease (EVD) Cases in Sierra Leone, Liberia, and Mali","Emergency intervention to manage Ebola Virus Disease (EVD) cases in Sierra Leone and Liberia","","",2014-09-15,2015-08-01,"","Health,Humanitarian aid","",,"","","",,"","Liberia>Bong,Liberia>Margibi,Mali>Kayes,Mali>Koulikoro,Mali>Segou,Mali>Sikasso,Sierra Leone>Northern","",2014-10-30,2015-06-17,active,""
"International Rescue Committee (IRC)",IRC-CI-14-13416,4791,ebola,"Ebola Prevention in Côte d'Ivoire","Ebola Prevention in Côte d'Ivoire","","",2014-11-01,2015-07-31,"","Health,Humanitarian aid","",946257.79,"","","",,"","Cote d'Ivoire","",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-LR-14-13424,4677,ebola,"Montserrado Ebola Prevention and Response","Emergency response for infection control, contact tracing, coordination and burial team management","","",2014-09-01,2015-07-31,"","Health,Humanitarian aid","",7062886.0,"","","",,"",Liberia,"",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-LR-14-13473,4898,ebola,"FY15 Ebola Response","FY15 Ebola Response","","",2014-11-04,2015-09-30,"","Health,Humanitarian aid","",2900000.0,"","","",,"","Liberia,Sierra Leone","",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-LR-14-13492,4833,ebola,"Support for the IRC's Ebola Response efforts in Sierra Leone and Liberia","Support for the IRC's Ebola Response efforts in Sierra Leone and Liberia","","",2014-11-05,2015-09-30,"","Health,Humanitarian aid","",2500000.0,"","","",,"","Liberia,Sierra Leone","",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-LR-15-13506,5148,ebola,"Restoring Services Supporting Healing Addressing the immediate needs of women and girls in the wake of the Ebola crisis","To address the immediate needs of women and girls during this period, the IRC will focus on four key areas of intervention: (i) Ensure the existence and safe access to services for survivors of GBV; (ii) Tailor services for women and girls to include provisions and support for survivors of Ebola or those greatly affected by the disease; (iii) Improve awareness raising, targeting specific risks to women and girls during this period; and (iv) Support protection and gender mainstreaming of Ebola focused services. The IRC proposes interventions in areas where pre-existing relationships exist and programming can be quickly started: Lofa, Nimba and Montserrado. ","","",2015-03-01,2015-10-31,"","Humanitarian aid,Protection","",978397.0,"","","",,"","Liberia>Lofa,Liberia>Montserrado,Liberia>Nimba","",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-LR-15-13528,5241,ebola,"2015 Ebola response","2016 Ebola response","","",2015-01-01,2015-12-31,"","Health,Humanitarian aid","",39377.32,"","","",,"","Liberia,Sierra Leone","",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-ML-15-13632,5333,ebola,"Ebola Preparedness Project in Mali ","Support Ebola preparedness activities in the countries bordering those having the main outbreak over the past 9 months.","","",2015-04-01,2016-04-30,"","Health,Humanitarian aid","",999401.9,"","","",,"",Mali,"",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-SL-14-13489,4651,ebola,"Rapid Response to Ebola Outbreak in Sierra Leone","Rapid Response to Ebola Outbreak in Sierra Leone","","",2014-09-01,2015-09-30,"","Health,Humanitarian aid","",20302030.0,"","","",,"","Sierra Leone","",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-SL-14-13513,4708,ebola,"Participatory behavioural change to reinforce infection prevention and control for Ebola virus disease in Sierra Leone","Participatory behavioural change to reinforce infection prevention and control for Ebola virus disease in Sierra Leone","","",2014-11-27,2015-11-26,"","Health,Humanitarian aid","",300119.64,"","","",,"","Sierra Leone","",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-SL-15-13426,5243,ebola,"Protection Response During the Ebola Outbreak and Recovery ","Protection Response During the Ebola Outbreak and Recovery ","","",2015-03-01,2015-07-31,"","Humanitarian aid,Protection","",3704750.0,"","","",,"","Sierra Leone","",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-SL-15-13476,5080,ebola,"Learning materials for children in Sierra Leone affected by Ebola ","Learning materials for children in Sierra Leone affected by Ebola ","","",2015-01-01,2015-09-30,"","Education,Humanitarian aid,Protection","",6000.0,"","","",,"","Sierra Leone","",2015-06-12,2015-07-02,active,""
"Life for Relief and Development",LRD-SL-14-5161,"",Ebola,"Medical Supplies and Equipment for Hospitals and Clinics to combat Ebola (Sierra Leone)","Provided hospital beds, medical supplies and equipment for the Ebola holding centers in Sierra Leone and will continue providing ongoing medicines, medical supplies and equipment to hospitals in the region.","Sending medicines, medical supplies and equipment to hospitals and clinics in Sierra Leone.","",2014-04-01,2015-12-31,"","Health,Humanitarian aid","",1500000.0,"","","",200000,"People of Sierra Leone","Sierra Leone>Eastern,Sierra Leone>Northern,Sierra Leone>Southern,Sierra Leone>Western",http://www.lifeusa.org,2014-05-13,2015-01-05,active,"Brother's Brother Foundation,Children of Abraham,Medwish International"
"Life for Relief and Development",LRD-SL-14-8713,"",Ebola,"Hygiene kits for communities affected by Ebola in Sierra Leone","Distribution of hygiene kits to communities affected by Ebola in Sierra Leone","Distribute hygiene kits to communities in areas affected by Ebola in Sierra Leone","",2014-10-15,2015-12-31,"Water Sanitation and Hygiene","Humanitarian aid,Water Sanitation and Hygiene","",50000.0,"","","",1000,"Ebola affected communities","Sierra Leone>Eastern,Sierra Leone>Northern,Sierra Leone>Southern,Sierra Leone>Western",http://www.lifeusa.org/site/News2?page=NewsArticle&id=13281,2014-10-30,2015-01-05,active,""
"Doctors of the World-USA",MdM-LR-14-8119,"",Ebola,"Liberia: Ebola response","Doctors of the World, also known as Médecins du Monde, has been actively working in Liberia for over a decade.  At the onset of the outbreak Doctors of the World initially sought to support the Liberian Ministry of Health and Social Work and Montserrado community health and social work teams by providing hygiene supplies, fuel, education materials, logistical and financial support.<br><br>Doctors of the World's intervention has since dramatically increased. We are working in the capital, Monrovia to reduce Ebola transmission and to support five health centers  with a combined patient population of 600,000.  ","Principle activities include the following: <br><br>1.	Train 400 community health volunteers, 25 peer supervisors, and 25 community leaders from Ebola hotspots.<br><br>2.	Reproduce Ministry of Health and Social Work IEC materials  (posters, flyers and charts) to support door-to-door and community awareness and behavioral change activities<br><br>3.	Provide infection prevention supplies to community leaders for use in community-based prevention measures and drills<br><br>4.     Provide of infection prevention items to strengthen infection control practices in the five supported health facilities<br><br>5.	Organize one week long Ebola awareness campaign per month in hotspots <br><br>6.	Organize monthly monitoring sessions and analysis by Ministry of Health and Social Work and Doctors of the World<br><br>7.	Ensure close monitoring of infection control standards and related operations  in the targeted health facilities<br><br>8.	Procure emergency medicines, medical and non-medical supplies for the targeted health facilities, based on the average monthly consumption<br><br>9.	Ensure isolation rooms are established in the targeted health facilities for triage and isolation of potential Ebola patients<br><br>10.	Ensure continuous provision of health services (maternal and neonatal health, child health, sexual and reproductive health, and mental health) to the 600,000 inhabitants of the catchment area<br><br>11.	Train health workers on infection control practices and universal precautions standards<br><br>12.	Give psychosocial support to health care workers ","",2014-08-01,2015-09-01,"","Health,Humanitarian aid","",,"","Department of Health and Social Welfare","",,"",Liberia>Montserrado,http://doctorsoftheworld.org/2014/10/06/doctors-of-the-world-fights-ebola/,2014-10-17,2015-06-18,active,""
"Project Concern International (PCI)",PCI-LR-15-12673,"",foodsecurity_site,"Protect and Empower for Ebola Resilience (PEER)","Through Cash Transfer Programming (CTP), in alignment with Liberia’s seasonal calendar , PCI will respond to the decline in food access and income caused by EVD by empowering people to meet their basic needs through emergency coping strategies that protect their long-term livelihoods, assets and dignity. Cash for Work (CFW), Unconditional Cash Transfers (UCT) and Agricultural Input Vouchers (AIV) will provide affected individuals with the flexible resources needed to spend money according to their needs and priorities, reintroduce income flow by creating short-term work, and support local businesses through the purchase of local items, goods and materials. ","unconditional cash transfers, agricultural inputs vouchers, cash for work activities, women to women groups. ","",2015-02-15,2016-09-14,"Food Security and Agriculture","Agriculture,Economic Recovery and Development,Safety nets","",,"","","",73920,"Households with pregnant and lactating women, children under two, and those affected by EVD.","Liberia>Bomi,Liberia>Grand Cape Mount","",2015-04-21,2015-04-22,active,""
"Save the Children",STC-LR-14-9356,84090308,"Ebola,education,health","Ebola Response with Paul Allen Family Foundation in Liberia","Ebola response award implemented in Liberia focuses on child protection, health, education. ","Health components include potential support to Ebola Community Care Centers (ECCC), community education and sensitization. Education in emergencies providing supplemental education programs while children are out of school. ","",2014-11-04,2015-11-03,"","Education,Health,Humanitarian aid,Protection","",6622933.0,"","","Save the Children US",,"Ebola affected populations",Liberia>Margibi,"",2014-11-14,2015-01-06,active,"Paul Allen Family Foundation"
"Buddhist Tzu Chi Foundation",TZU-SL-15-11231,"","ebola,foodsecurity_site","Aid to Sierra Leone and W. Africa in the Wake of Ebola"," Tzu Chi (TC), linked together by UN Under-Secretary-General Dr. Kandeh Yumkella with the Healey Foundation and Caritas, is donating and distributing, with the help and coordination of the 2 stated organizations, the following materials to the city of Freetown, Sierra Leone:<br><br>
--1,512 Multi-function (purpose) Foldable Platforms/Beds
--15,740 KG of Instant/Jing-Si Rice
--3,000 TC Plastic Bowls
--3,000 TC Plastic Bowl Covers
--3,000 TC Soup Spoons
--2,720 TC Eco-Blankets","","Initial distributions (all materials stated above) will end after April 2015; however, following distributions will continue after further planning and development. 

Project will be expanded to other areas of Sierra Leone and W. Africa in the future. 

Basic medical supplies are also in future aid distribution plans.",2015-01-01,2016-12-31,"Food Security and Agriculture,Shelter and Non-Food Items","Food Aid,Humanitarian aid,Non-food relief items (NFIs)","",,"","","",,"Ebola patients and indigent populations","Sierra Leone","",2015-02-10,2015-02-11,active,""
"Catholic Relief Services (CRS)",CRS-SL-14-8234,"",ebola,"Community Supports for Family Recovery ","This project will support faith-based centers and communities with psychosocial interventions including provision of discharge packages and social services for Ebola Viral Disease (EVD) survivors and their families in order to promote social reintegration.  As part of this project, 6 clinics and two faith-based hospitals will also be provided infection control supplies (PPE) in WAR and Port Loko. The project will also provide training and supervision on infection control methods. ","","",2014-10-01,2015-10-01,"",Health,"",,"","","",,"","Sierra Leone>Western","",2014-10-22,2014-10-23,active,"Private donations"
"Episcopal Relief & Development",ERD-BI-15-13930,3433F5E1-853F-490E-896E-717145EC91CA,"ebola,foodsecurity_site","2015 PEAB Sustainable Livelihoods Program - Health","The Anglican Church of Burundi’s Transformative Sustainable Livelihoods and Health Program seeks to assist poor and vulnerable people in the areas of the six dioceses in their efforts to recover from the depletion of livelihoods and health that has affected the country for over 19 years. Using a comprehensive approach to address HIV/AIDS called "" SAVE"" (Safer practices, Available medication, Voluntary counseling and testing, Empowerment), the program focuses on raising acceptance and awareness and working against the stigma and discrimination associated with HIV and AIDS. The program also aims to increase attendance at clinics which work to prevent mother-to-child transmission of HIV, as well as work with youth in schools through STOP AIDS clubs. This year the program will use the same participatory training and advocacy strategies as the HIV/AIDS activities to engage religious leaders on Ebola prevention and response. In addition the program includes family planning and female hygiene objectives, so as to promote a more holistic approach to improved community health.","Advocate for improved PLWHIV rights and care ,Train PLWHIV and OVC head of households on kitchen gardens,Support orphans and vulnerable children (OVCs) with school materials and fees ,Sensitize HIV+ pregnant women on PMTCT program ,Train and support interfaith religious leaders on HIV/AIDS and stigma using the SAVE approach (in new locations),Carry out a mass education campaign during the week leading up to World AIDS Day (testing clinics and advocacy throughout week, service in each Diocese on Sunday, official celebration December 1st),Train religious leaders and CHWs on homed-based care (HBC) of PLWHIV ,Conduct program management and M&E capacity builiding meetings for diocesan coordinators,Train HIV+ women on how to plan and manage a kitchen garden,Facilitate VCT mobile clinics with school STOP AIDS clubs ,Teach girls in school how to make and/or properly use sanitary pads ,Sensitize local leaders (i.e. religious, community, government) about Ebola prevention ,Train pastors on family planning and SRH as part of pre and post marital counseling ,Support religious leaders to develop and validate action plans for family planning in their respective congregations,Advocate for improved access to family planning education and services among women of reproductive age and their husbands or partners,Organize consultation meetings at congregational level to present Family Planning issues ,Sensitize community members on family planning (255 farmers and spouses in 4 groups participating in FSE program)","",2015-01-30,2016-01-29,"","Agriculture,Health,Protection","Disaster Risk Reduction",,"","Province of the Anglican Church of Burundi","",,"Orphans & Vulnerable Children (OVC),People living with HIV/AIDS (PLWHA),In school youth,Out of school youth,Women of Reproductive Age,Individuals,Clergy/Lay Leaders",Burundi,http://www.episcopalrelief.org,2015-07-06,2015-07-06,active,""
"Episcopal Relief & Development",ERD-GN-15-13926,DCF65D23-68ED-4793-80A0-8FD5E19EDBA9,ebola,"Anglican Diocese of Guinea Health Program 2015","The partnership between Anglican diocese of Guinea and Episcopal Relief and development, dating back to 2009, aimed at reducing new malaria infections and by that reducing the high morbidity and mortality associated with malaria. In 2014, Guinea and neighboring countries experienced the ebola infection. As at March 2015, the country of Guinea had recorded 3,011 confirmed cases of Ebola virus infection. Out of this number 2,263 died. The consequence of this is that life in the country was virtually brought to a standstill. To begin with, many families are devastated with deaths of family members, breadwinners and care givers. This has weakened the already fragile economic situation in many families, worsening the situation of poverty in communities, the church and the country. At the peak of the Ebola infections, many companies either closed down or scaled down activities drastically and sending employees home destroying the source of livelihood for even the survivors of ebola. The emotional trauma caused by the deaths have left the church with a huge task of restoring hope in life for the survivors. Also children are who have lost parents are now left as orphans, some needing daily provision to survive, shelter and clothing. Ebola has interrupted the education for some of these children without hope of having a meaningful future. These problems caused by Ebola comes as an add on to the challenge of Malaria which the church has been working with Episcopal Relief & Development to mitigate. At the height of the crisis it was difficult for primary health workers to differentiate malaria from ebola thereby wrongly categorizing cases of malaria as ebola and by that exposing the persons concerned to ebola infection even at the health centers. Also activities that were outlined for malaria control by the government and other agencies like the church which involved household visits and community level gatherings were suspended; and thus affecting the gains that would otherwise have been made in the control of malaria. In the light of these developments, the Anglican church of Guinea is aiming at reducing the combined sufferings of Ebola, Malaria and Diarrhea and to consolidate the gains made in malaria control in the past through the 2015 year. The church also hopes to ensure that all persons suspected of having ebola receive prompt and adequate treatment in the health facilities as well as malaria promptly treated in the community. With support from Episcopal Relief and Development, the Anglican Diocese of Guinea intends to embark on massive information, education and communication on management of malaria and diarrhea at the community level. The church intends to return to the use of door to door conversation and community level gatherings for drama performance to achieve this. Furthermore both community level and facility level health workers would be trained to ensure that the appropriate care is being provided. It is anticipated that by the close of 2015, the usage of LLINs would have improved in the project areas leading to reduced numbers of malaria cases.","Community Volunteers training,Sensitization of households,Household visits,Monitoring,Training of facility based Professional health workers,Establishing referral system with professional health workers","",2015-04-14,2015-12-30,"",Health,"",,"","Diocese of Guinea","",,"Family members,Children < 5",Guinea,http://www.episcopalrelief.org,2015-07-06,2015-07-06,active,""
"IntraHealth International",IHI-GN-14-8227,"",Ebola,"mHero Mobile Phone Outreach to Health Workers","IntraHealth International and partners have joined forces to help Liberia’s Ministry of Health and Social Welfare, and potentially ministries in other countries, to communicate with health workers in real time in the fight to contain the Ebola outbreak. By combining two existing technologies—IntraHealth’s iHRIS health workforce information software and UNICEF’s mobile phone SMS platform—we have created a powerful communication tool called mHero. Using mHero, ministries can instantly send critical information to health workers’ mobile phones, including reports of emerging cases, reminders about safety protocols, and reference and training materials.","mHero, currently under rapid development, is a free SMS mobile phone-based system designed for communication among Ministry of Health staff, health workers, and community health workers. By supporting the interoperability of human resources information systems, such as IntraHealth’s iHRIS, with UNICEF’s SMS, and utilizing the OpenHIE architecture, the platform can immediately use health workforce data to target specific communications based on cadre, location, and other information. Communications, which can be triggered both centrally and locally, go far beyond traditional “message blasts” offered by many technology vendors. Real-time monitoring, complex multipath surveys, monitoring, and detailed analysis can readily be conducted. Further, Interactive Voice Response (IVR) mLearning approaches will take knowledge delivery one step beyond SMS with higher content limits, while also addressing literacy and language divides through spoken language. IntraHealth has developed an Ebola SMS course and an Ebola IVR course, both of which health workers can take using basic mobile phones. ","",2014-09-01,2015-09-01,Health,"Communications,Health","",,"UNICEF, USAID, Johnson & Johnson, Jembi Health Systems, Thought Works, and OpenHIE","Liberia Ministry of Health and Social Welfare, iLab Liberia","IntraHealth International",,"","Guinea,Liberia,Sierra Leone","",2014-10-22,2014-12-08,active,"Johnson &amp; Johnson,UNICEF,U.S. Agency for International Development (USAID)"
"International Medical Corps",IMC-LR-14-11385,"",ebola,"Implementing the Small Grants Initiative","Implementing the Small Grants Initiative","","",2014-02-01,2015-07-31,"","Health,Humanitarian aid","",,"","","",,"","Liberia>Bong,Liberia>Gbarpolu,Liberia>Grand Bassa,Liberia>Grand Cape Mount,Liberia>Grand Gedeh,Liberia>Grand Kru,Liberia>Lofa,Liberia>Margibi,Liberia>Maryland,Liberia>Montserrado,Liberia>Nimba,Liberia>River Cess,Liberia>River Gee,Liberia>Sinoe","",2015-02-20,2015-02-20,active,""
"International Medical Corps",IMC-LR-14-11422,"",ebola,"Emergency Intervention to Manage EVD cases in Liberia","Emergency Intervention to Manage EVD cases in Liberia","","",2014-09-15,2015-08-01,"","Health,Humanitarian aid","",,"","","",,"",Liberia>Bong,"",2015-02-20,2015-06-17,active,""
"International Medical Corps",IMC-SL-14-11380,"",ebola,"Emergency intervention to manage EVD cases in Sierra Leone - 1","Emergency intervention to manage EVD cases in Sierra Leone","","",2014-10-01,2015-09-15,"","Health,Humanitarian aid","",,"","","",,"","Sierra Leone>Northern","",2015-02-20,2015-06-17,active,""
"International Rescue Committee (IRC)",IRC-LR-14-13472,4772,ebola,"EVD Response, Readiness and Restoration","EVD Response, Readiness and Restoration","","",2014-10-01,2015-09-30,"","Health,Humanitarian aid,Protection","",10402487.0,"","","",,"",Liberia,"",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-SL-15-13467,5116,ebola,"Community Health Worker Program in Sierra Leone","Community Health Worker Program in Sierra Leone","","",2015-01-01,2015-09-30,"","Health,Humanitarian aid","",300000.0,"","","",,"","Sierra Leone","",2015-06-12,2015-07-02,active,""
"International Rescue Committee (IRC)",IRC-SL-15-13608,5335,ebola,"Strengthening Infection Prevention and Control (IPC) and WASH Infrastructure in Government Hospitals in Sierra Leone","Strengthening Infection Prevention and Control (IPC) and WASH Infrastructure in Government Hospitals in Sierra Leone","","",2015-04-15,2016-02-28,"","Health,Water Sanitation and Hygiene","",8759150.19,"","","",,"","Sierra Leone","",2015-06-12,2015-07-02,active,""
